DATE,CSUSHPISA,Year,Month
2001-06-01,112.796,2001,6
2001-07-01,113.491,2001,7
2001-08-01,114.167,2001,8
2001-09-01,114.812,2001,9
2001-10-01,115.31,2001,10
2001-11-01,115.858,2001,11
2001-12-01,116.455,2001,12
2002-01-01,117.143,2002,1
2002-02-01,117.845,2002,2
2002-03-01,118.687,2002,3
2002-04-01,119.611,2002,4
2002-05-01,120.724,2002,5
2002-06-01,121.813,2002,6
2002-07-01,122.888,2002,7
2002-08-01,123.83,2002,8
2002-09-01,124.78,2002,9
2002-10-01,125.735,2002,10
2002-11-01,126.67,2002,11
2002-12-01,127.624,2002,12
2003-01-01,128.461,2003,1
2003-02-01,129.355,2003,2
2003-03-01,130.148,2003,3
2003-04-01,130.884,2003,4
2003-05-01,131.734,2003,5
2003-06-01,132.649,2003,6
2003-07-01,133.777,2003,7
2003-08-01,134.969,2003,8
2003-09-01,136.294,2003,9
2003-10-01,137.532,2003,10
2003-11-01,138.794,2003,11
2003-12-01,140.179,2003,12
2004-01-01,141.646,2004,1
2004-02-01,143.192,2004,2
2004-03-01,145.059,2004,3
2004-04-01,146.593,2004,4
2004-05-01,148.186,2004,5
2004-06-01,149.85,2004,6
2004-07-01,151.338,2004,7
2004-08-01,152.633,2004,8
2004-09-01,154.179,2004,9
2004-10-01,155.75,2004,10
2004-11-01,157.527,2004,11
2004-12-01,159.33,2004,12
2005-01-01,161.288,2005,1
2005-02-01,163.344,2005,2
2005-03-01,165.812,2005,3
2005-04-01,167.501,2005,4
2005-05-01,169.351,2005,5
2005-06-01,171.19,2005,6
2005-07-01,172.86,2005,7
2005-08-01,174.442,2005,8
2005-09-01,176.438,2005,9
2005-10-01,178.028,2005,10
2005-11-01,179.68,2005,11
2005-12-01,180.91,2005,12
2006-01-01,182.321,2006,1
2006-02-01,183.287,2006,2
2006-03-01,184.364,2006,3
2006-04-01,184.329,2006,4
2006-05-01,184.156,2006,5
2006-06-01,183.507,2006,6
2006-07-01,183.068,2006,7
